StoreNumber,StoreName,StreetAddress,City,State,Zip,Manager,FirstAssistant,AreaName,AreaNumber,RegionName,RegionNumber,OpenYear,OpenMonth,OpenDay,Latitude,Longitude,Picture,Manager_Picture,No_Teldir_Update,Picture_Coming_Soon
116,BOISE BROADWAY,2085 S Broadway Ave,Boise,ID,83706,Wayne Castle,Tom Heninger,Southern Idaho,10,Eastern Region,3,1991,5,1,43.5863277,-116.1941972,116-Boise-Broadway.jpg,,0,0
117,HAILEY,520 N River St,Hailey,ID,83333,Chad Miller,Aaron Petzoldt,Southern Idaho,10,Eastern Region,3,1991,9,1,43.5239413,-114.3197222,117-Hailey.jpg,,0,0
118,BOISE DOWNTOWN,1324 W Jefferson St,Boise,ID,83702,Mickey Denton,Jarred Bean-Sasser,Southern Idaho,10,Eastern Region,3,1994,4,1,43.6214634,-116.2073804,118-Boise-Downtown.jpg,,0,0
119,MERIDIAN,275 S Main St,Meridian,ID,83642,Steve Shumaker,Jared Fast,Southern Idaho,10,Eastern Region,3,1995,7,1,43.6023339,-116.3922649,119 Meridian.jpg,,0,0
120,BUHL,1241 Burley Ave,Buhl,ID,83316,Mike Cates,Noah Potts,Southern Idaho,10,Eastern Region,3,1999,6,1,42.5931821,-114.7674986,120 Buhl.jpg,,0,0
121,EAGLE,1467 E Iron Eagle Dr,Eagle,ID,83616,Darrin Mclean,Shawn Scroggins,Southern Idaho,10,Eastern Region,3,2000,5,15,43.6889265,-116.3357068,121-Eagle.jpg,,0,0
123,AMERICAN FALLS,2842 Pocatello Ave,American Falls,ID,83211,Melvin Falk,Boyd Prestidge,Southern Idaho,10,Eastern Region,3,2001,1,2,42.7872062,-112.8426824,123-American-Falls.jpg,,0,0
124,BOISE SOUTH COLE,1850 S Cole Rd,Boise,ID,83709,Mike Seely,Chris Brewer,Southern Idaho,10,Eastern Region,3,2001,10,19,43.5873541,-116.2732180,124-Boise-South-Cole.jpg,,0,0
125,MCCALL,500 Deinhard Ln,Mccall,ID,83638,Nate Laughery,Daniel Straw,Southern Idaho,10,Eastern Region,3,2001,6,1,44.8974798,-116.0930972,125-McCall.jpg,,0,0
126,NAMPA SOUTH,2901 12th Ave Rd,Nampa,ID,83686,Corey Miner,Jason Strain,Southern Idaho,10,Eastern Region,3,2003,7,18,43.5411031,-116.5734838,126-Nampa-S.jpg,,0,0
201,GRESHAM,390 NE Burnside Rd,Gresham,OR,97030,Howard Magden,Pat Hammond,Northwestern Oregon,5,Central Region,2,1973,6,1,45.5072552,-122.4268711,201 Gresham.jpg,,0,0
202,MCMINNVILLE,170 NE Highway 99W,Mcminnville,OR,97128,Jobe Nash,Raleigh Richey,Western Oregon,6,Central Region,2,1973,8,15,45.2209296,-123.1963815,202-McMinnville.jpg,,0,0
203,ASHLAND,2308 Ashland St,Ashland,OR,97520,Jeff Robidou,Ian Mcphee,Southwestern Oregon,7,Central Region,2,1973,10,1,42.1849446,-122.6709654,203-Ahsland.jpg,,0,0
204,WOODBURN,1140 N Pacific Hwy,Woodburn,OR,97071,Jim Bowen,Scott Mcdaniel,Western Oregon,6,Central Region,2,1973,8,15,45.1455103,-122.8357062,204 Woodburn.jpg,,0,0
205,PORTLAND SOUTH 82ND,7304 SE 82nd Ave,Portland,OR,97266,Cory Bowers,Devin Cabato,Northwestern Oregon,5,Central Region,2,1974,10,1,45.4699596,-122.5785989,205-Portland-82nd.jpg,,0,0
206,NYSSA,204 Thunderegg Blvd,Nyssa,OR,97913,C J Church,Brian Blackmore,Eastern Oregon,8,Central Region,2,1976,1,1,43.8788800,-117.0018258,206-Nyssa.jpg,,0,0
207,BEAVERTON,10340 SW Canyon Rd,Beaverton,OR,97005,Darrell Stringer,Erik Nilssen,Northwestern Oregon,5,Central Region,2,1976,12,1,45.4921409,-122.7830096,207 Beaverton.jpg,,0,0
208,HEPPNER,124 N Main St,Heppner,OR,97836,John Gould,Jeff Mccrumb,Eastern Oregon,8,Central Region,2,1977,2,14,45.3537155,-119.5530856,208-Heppner.jpg,,0,0
209,COTTAGE GROVE,109 S Pacific Hwy,Cottage Grove,OR,97424,Jim Gipson,Alexander Johnson,Southwestern Oregon,7,Central Region,2,1977,10,1,43.7960716,-123.0603734,209-Cottage-Grove.jpg,,0,0
